"No","Test Name","MRP (INR)","Special Price (INR)","Our Price (INR)"
"1","1,3 - Beta - D-Glucan ( BDG )","10000","5000","5000"
"2","17 - Ketosteroids (24 Hrs. Urine)","6000","3000","3000"
"3","17 - Oh Ketosteroid","6000","3000","3000"
"4","17 - Oh Progesterone, Serum","1250","625","625"
"5","24 Hrs 5-Hiaa (Hydroxy Indole Acetic Acid) (Urine)","3000","1500","1500"
"6","24 Hrs Aldosterone, (Urine)","3000","1500","1500"
"7","24 Hrs Amino Levulinic Acid Ala (Quantitative), (Urine)","7000","3500","3500"
"8","24 Hrs Bun - Urea Nitrogen, Urine 24H","400","200","200"
"9","24 Hrs Catecholamines (Urine)","6000","3000","3000"
"10","24 Hrs Citrate (Urine)","1750","875","875"
"11","24 Hrs Epinephrine (Urine)","5000","2500","2500"
"12","24 Hrs Hydroxy Proline (Urine)","6750","3375","3375"
"13","24 Hrs Metanephrine (Urine)","2750","1375","1375"
"14","24 Hrs Normetanephrine (Urine)","3750","1875","1875"
"15","24 Hrs Urine Chromium","5000","2500","2500"
"16","24 Hrs Urine For Electrolytes With Bicarbonate","550","275","275"
"17","24 Hrs Urine For Protein / Creatinine Ratio","550","275","275"
"18","24 Hrs Urine Osmolality","1000","500","500"
"19","24 Hrs. Urine Porphobilinogen ( Qualitative )","4000","2000","2000"
"20","24Hrs Urine Mercury","5000","2500","2500"
"21","Abpa - Mini","3250","1625","1625"
"22","Absolute Basophil Count","180","90","90"
"23","Absolute Eosinophil Count","180","90","90"
"24","Absolute Lymphocyte Count","180","90","90"
"25","Absolute Monocyte Count","180","90","90"
"26","Absolute Neutrophil Count","180","90","90"
"27","Acacia (EIA)","500","250","250"
"28","Acentylsalicyclic Acid- Drug (EIA)","500","250","250"
"29","Acetone (Ketones), Urine","200","100","100"
"30","Acetyl Choline Receptor Antibodies (Achr Abs), Serum","4250","2125","2125"
"31","Acid Phosphatase - Prostatic, Serum","850","425","425"
"32","Acid Phosphatase - Total, Serum","500","250","250"
"33","Activated Partial Thromboplastin Time [Aptt] Blood Bank","350","175","175"
"34","Activated Protein - C","5250","2625","2625"
"35","Activated Protein C Resistance","5850","2925","2925"
"36","Acyl Carnitine, Quantitative Neonatal Dried Blood Spot","8500","4250","4250"
"37","Ada - Ascitic Fluid","1000","500","500"
"38","Ada - Peritonial Fluid","1000","500","500"
"39","Ada - Synovial Fluid","1000","500","500"
"40","Ada ( Pleural Fluid )","1000","500","500"
"41","Adamts 13 Activity","25500","12750","12750"
"42","Adenosine Deaminase (Ada)","1000","500","500"
"43","Adenosine Deaminase (Ada) - Csf","1000","500","500"
"44","Adenosine Deaminase (Ada) - Ascitic Fluid","1000","500","500"
"45","Adenovirus Igg Antibody","3000","1500","1500"
"46","Adenovirus Igm Antibody","3000","1500","1500"
"47","Adiponectin - Serum","5000","2500","2500"
"48","Adrenaline (Epinephrine) Plasma","5250","2625","2625"
"49","Adreno Corticotropic Hormone (Acth), Edta Plasma","2200","1100","1100"
"50","Afb - Culture & Sensitivity Bactec Mgit (4 Drugs)","7000","3500","3500"
"51","Afb - Smear Examination By Zn Stain","250","125","125"
"52","Afb Culture - Bactec Mgit","2000","1000","1000"
"53","Afb Culture Second Line Drugs","9500","4750","4750"
"54","Albert'S Staining For C.Diptheriae","350","175","175"
"55","Albumin - Body Fluid","250","125","125"
"56","Albumin - Peritonial Fluid","250","125","125"
"57","Albumin - Pleural Fluid","250","125","125"
"58","Albumin - Urine","250","125","125"
"59","Albumin ( Pleural Fluid )","250","125","125"
"60","Albumin (Amniotic Fluid)","250","125","125"
"61","Albumin Gradient","350","175","175"
"62","Albumin, Serum","250","125","125"
"63","Alcohol ( Ethanol ) Quantitative Serum","2000","1000","1000"
"64","Alcohol (Ethanol) Quantitative, Urine","2500","1250","1250"
"65","Aldolase","1500","750","750"
"66","Aldosterone, Serum","2000","1000","1000"
"67","Alk Expression - Ihc","1650","825","825"
"68","Alkaline Phosphatase Bone Specific, Serum","3000","1500","1500"
"69","Alkaline Phosphatase, Serum","350","175","175"
"70","Allergen Cynodon Dactylon (Inhalent)","1000","500","500"
"71","Allergen - House Dust Mite - Blomia Tropicalis","1000","500","500"
"72","Allergen - Mosquito","1000","500","500"
"73","Allergen Drug - Metronidazole","2750","1375","1375"
"74","Allergen -House Dust Mite - Dermatophagoides Farinae","1000","500","500"
"75","Allergen-Pigeon Feathers And Droppings - Specific Ige","1000","500","500"
"76","Allergen-Pigeon Feathers And Droppings - Specific Igg","2250","1125","1125"
"77","Allergic Bronchopulmonary Aspergillosis (Abpa) Screen","2200","1100","1100"
"78","Allergy Shrimp - Non Veg (Immunocap/FEIA)","1000","500","500"
"79","Allergy Tree & Shrub Panel (4 Allergens )","3250","1625","1625"
"80","Allergy Wheat - Veg (Immunocap/FEIA)","1000","500","500"
"81","Allergy Acacia - Inhalant (Immunocap/FEIA)","1000","500","500"
"82","Allergy Almond - Veg (Immunocap/FEIA)","1000","500","500"
"83","Allergy Alternaria - Inhalant (Immunocap/FEIA)","1000","500","500"
"84","Allergy Apple - Veg (Immunocap/FEIA)","1000","500","500"
"85","Allergy Aspergillus Fumigates - Inhalant (Immunocap/FEIA)","1000","500","500"
"86","Allergy Aspergillus Fumigatus - Inhalant (Immunocap/FEIA)","1000","500","500"
"87","Allergy Banana - Veg (Immunocap/FEIA)","1000","500","500"
"88","Allergy Barley - Veg (Immunocap/FEIA)","1000","500","500"
"89","Allergy Beef - Non Veg (Immunocap/FEIA)","1000","500","500"
"90","Allergy Bermuda Grass - Inhalant (Immunocap/FEIA)","1000","500","500"
"91","Allergy Cabbage - Veg (Immunocap/FEIA)","1000","500","500"
"92","Allergy Candida Albicans - Inhalant (Immunocap/FEIA)","1000","500","500"
"93","Allergy Carrot - Veg (Immunocap/FEIA)","1000","500","500"
"94","Allergy Cashew Nut - Veg (Immunocap/FEIA)","1000","500","500"
"95","Allergy Cat Dander - Inhalant (Immunocap/FEIA)","1000","500","500"
"96","Allergy Celery - Veg (Immunocap/FEIA)","1000","500","500"
"97","Allergy Chesse (Cheddar Type) - Veg (Immunocap/FEIA)","1000","500","500"
"98","Allergy Chick Pea - Veg (Immunocap/FEIA)","1000","500","500"
"99","Allergy Chicken - Non Veg (Immunocap/FEIA)","1000","500","500"
"100","Allergy Chillie - Veg (Immunocap/FEIA)","1000","500","500"
"101","Allergy Cladosporium - Inhalant (Immunocap/FEIA)","1000","500","500"
"102","Allergy Cockroach - Inhalant (Immunocap/FEIA)","1000","500","500"
"103","Allergy Coconut - Veg (Immunocap/FEIA)","1000","500","500"
"104","Allergy Coffee - Veg (Immunocap/FEIA)","1000","500","500"
"105","Allergy Commom Pigweed - Inhalant (Immunocap/FEIA)","1000","500","500"
"106","Allergy Common Ragweed - Inhalant (Immunocap/FEIA)","1000","500","500"
"107","Allergy Common Silver Birch - Inhalant (Immunocap/FEIA)","1000","500","500"
"108","Allergy Cow Milk (Immunocap/FEIA)","1000","500","500"
"109","Allergy Crab - Non Veg (Immunocap/FEIA)","1000","500","500"
"110","Allergy Cucumber - Veg (Immunocap/FEIA)","1000","500","500"
"111","Allergy Dog Dander - Inhalant (Immunocap/FEIA)","1000","500","500"
"112","Allergy Egg - Non Veg (Immunocap/FEIA)","1000","500","500"
"113","Allergy Egg Plant - Veg (Immunocap/FEIA)","1000","500","500"
"114","Allergy Egg White, Serum","1000","500","500"
"115","Allergy Egg Yolk, Serum","1000","500","500"
"116","Allergy Elm - Inhalant (Immunocap/FEIA)","1000","500","500"
"117","Allergy Fish (Cod) - Non Veg (Immunocap/FEIA)","1000","500","500"
"118","Allergy For Citrous Fruits","1000","500","500"
"119","Allergy For Fish","1000","500","500"
"120","Allergy For Tamarind","1000","500","500"
"121","Allergy Fruit Panel (12 Allergen)","8250","4125","4125"
"122","Allergy Garlic - Veg (Immunocap/FEIA)","1000","500","500"
"123","Allergy Gluten - Veg (Immunocap/FEIA)","1000","500","500"
"124","Allergy Goosefoot - Inhalant (Immunocap/FEIA)","1000","500","500"
"125","Allergy Grapes - Veg (Immunocap/FEIA)","1000","500","500"
"126","Allergy Grass Panel ( 3 Allergens )","2500","1250","1250"
"127","Allergy Hazel Nut - Veg (Immunocap/FEIA)","1000","500","500"
"128","Allergy House Dust Mite Dermatophagoides Pteronyssinus Inhalant (Immunocap/FEIA)","1000","500","500"
"129","Allergy Indoor Panel (4 Allergens )","3250","1625","1625"
"130","Allergy Johnson Grass - Inhalant (Immunocap/FEIA)","1000","500","500"
"131","Allergy Kiwi - Veg (Immunocap/FEIA)","1000","500","500"
"132","Allergy Legume Panel (4 Allergens)","3250","1625","1625"
"133","Allergy Lemon - Veg (Immunocap/FEIA)","1000","500","500"
"134","Allergy Lentil - Veg (Immunocap/FEIA)","1000","500","500"
"135","Allergy Lettuce - Veg (Immunocap/FEIA)","1000","500","500"
"136","Allergy Lobster - Non Veg (Immunocap/FEIA)","1000","500","500"
"137","Allergy Maize - Veg (Immunocap/FEIA)","1000","500","500"
"138","Allergy Mango - Veg (Immunocap/FEIA)","1000","500","500"
"139","Allergy Mesquite - Inhalant (Immunocap/FEIA)","1000","500","500"
"140","Allergy Milk - Veg (Immunocap/FEIA)","1000","500","500"
"141","Allergy Mugwort - Inhalant (Immunocap/FEIA)","1000","500","500"
"142","Allergy Mushroom - Veg (Immunocap/FEIA)","1000","500","500"
"143","Allergy Mustard Seed - Veg (Immunocap/FEIA)","1000","500","500"
"144","Allergy Mutton - Non Veg (Immunocap/FEIA)","1000","500","500"
"145","Allergy Non Veg Panel (8 Allergens)","6250","3125","3125"
"146","Allergy Nuts Panel ( 5 Allergen)","4250","2125","2125"
"147","Allergy Oat - Veg (Immunocap/FEIA)","1000","500","500"
"148","Allergy Orange - Veg (Immunocap/FEIA)","1000","500","500"
"149","Allergy Parthenium - Inhalant (Immunocap/FEIA)","1000","500","500"
"150","Allergy Pea - Veg (Immunocap/FEIA)","1000","500","500"
"151","Allergy Peach - Veg (Immunocap/FEIA)","1000","500","500"
"152","Allergy Peanut - Veg (Immunocap/FEIA)","1000","500","500"
"153","Allergy Pear - Veg (Immunocap/FEIA)","1000","500","500"
"154","Allergy Penicillium Chrysogenum - Inhalant (Immunocap/FEIA)","1000","500","500"
"155","Allergy Pineapple - Veg (Immunocap/FEIA)","1000","500","500"
"156","Allergy Pomegranate - Veg (Immunocap/FEIA)","1000","500","500"
"157","Allergy Pork - Non Veg (Immunocap/FEIA)","1000","500","500"
"158","Allergy Potato - Veg (Immunocap/FEIA)","1000","500","500"
"159","Allergy Regweed - Inhalant (Immunocap/FEIA)","1000","500","500"
"160","Allergy Rice - Veg (Immunocap/FEIA)","1000","500","500"
"161","Allergy Screening Tryptase","3500","1750","1750"
"162","Allergy Sesame Seed - Veg (Immunocap/FEIA)","1000","500","500"
"163","Allergy Soyabean - Veg (Immunocap/FEIA)","1000","500","500"
"164","Allergy Spinach - Veg (Immunocap/FEIA)","1000","500","500"
"165","Allergy Starch Panel (3 Allergens)","2500","1250","1250"
"166","Allergy Strawberry - Veg (Immunocap/FEIA)","1000","500","500"
"167","Allergy Test For Chocolate, Serum","1000","500","500"
"168","Allergy Test For Paracetamol","1000","500","500"
"169","Allergy Timothy - Inhalant (Immunocap/FEIA)","1000","500","500"
"170","Allergy Tomato - Veg (Immunocap/FEIA)","1000","500","500"
"171","Allergy Vegetable Panel (11 Allergen)","9000","4500","4500"
"172","Allergy Walnut - Veg (Immunocap/FEIA)","1000","500","500"
"173","Allergy: 107 Allergens","6500","3250","3250"
"174","Almond- Veg (EIA)","500","250","250"
"175","Alpha 1 Antitrypsin, Serum","3000","1500","1500"
"176","Alpha Feto Protein (Afp), Serum","850","425","425"
"177","Alpha Feto Protein (Afp), Serum (Triple)","1000","500","500"
"178","Alpha Lacto Globulin (EIA)","500","250","250"
"179","Alternaria Alternate (EIA)","500","250","250"
"180","Amacr (Alpha-Methylacyl-Coa Racemase/P5045)","4500","2250","2250"
"181","Amenorrhoea Profile","2250","1125","1125"
"182","AMH ( Anti mullerian hormone) - Elisa","1250","625","625"
"183","Amh + Panel","3500","1750","1750"
"184","Amino Acid Profile Urine","7750","3875","3875"
"185","Amino Acid Quantitative Plasma","8000","4000","4000"
"186","Amino Levulinic Acid Ala (Quantitative), Urine Spot","6500","3250","3250"
"187","Ammonia","1200","600","600"
"188","Amoebic Serology Igg, Serum","2500","1250","1250"
"189","Amoxicillin- Drug (EIA)","500","250","250"
"190","Ampicillin- Drug (EIA)","500","250","250"
"191","Amylase - Ascitic Fluid","550","275","275"
"192","Amylase - Peritonial Fluid","550","275","275"
"193","Amylase ( Pleural Fluid )","550","275","275"
"194","Amylase (Spot Urine)","550","275","275"
"195","Amylase, Body Fluid","550","275","275"
"196","Amylase, Serum","550","275","275"
"197","Ana Profile (17 Antigen)","5000","2500","2500"
"198","Ana Profile (25 Antigen)","5500","2750","2750"
"199","Ana Reflex To Ena Profile","6000","3000","3000"
"200","Anaerobic Culture","1600","800","800"
"201","Analgin (EIA)","500","250","250"
"202","Anca Profile (Immunoblot), Serum","3750","1875","1875"
"203","Androgen receptor","4500","2250","2250"
"204","Androstenedione, Serum","3500","1750","1750"
"205","Anemia Profile","2500","1250","1250"
"206","Angiotensin Converting Enzyme (Ace), Serum","1750","875","875"
"207","Anti Intrinstic Antibody","3100","1550","1550"
"208","Anti - Jo Antibody, Serum","2200","1100","1100"
"209","Anti Aquaporin 4 Antibody (Neuromyelitis Optica / Transverse Myelitis), Serum Ifa","5000","2500","2500"
"210","Anti Aquaporine 4 Antibody ( Eia)","2200","1100","1100"
"211","Anti B Antibody Titre","2900","1450","1450"
"212","Anti Ccp, Serum","1500","750","750"
"213","Anti Centromere Ab, Serum","2200","1100","1100"
"214","Anti Complement Factor H","7500","3750","3750"
"215","Anti Cysticercosis-Igg","2450","1225","1225"
"216","Anti Diuretic Hormone (Adh) (Vasopressin), Edta","7000","3500","3500"
"217","Anti Ds Dna","1100","550","550"
"218","Anti Ds-Dna Antibody - Ifa (Qualitative)","2750","1375","1375"
"219","Anti Factor X A Assay","7000","3500","3500"
"220","Anti Glomerular Basement Membrane Ab - Igg, Serum","3000","1500","1500"
"221","Anti Hav - Igg","1000","500","500"
"222","Anti Hav - Igm","1000","500","500"
"223","Anti Hav Total","1000","500","500"
"224","Anti Hbc - Igm","1000","500","500"
"225","Anti Hbc Ab - Total","1000","500","500"
"226","Anti Hbe","1000","500","500"
"227","Anti Hbs","1000","500","500"
"228","Anti Hbs (Cmia Method)","2200","1100","1100"
"229","Anti Hdv-Total Antibodies To Hepatitis Delta Virus","6500","3250","3250"
"230","Anti Histone Antibody","3000","1500","1500"
"231","Anti Intinsic Factor Antibody","3500","1750","1750"
"232","Anti Mag Antibodies","7000","3500","3500"
"233","Anti Mitochondrial Antibody","1600","800","800"
"234","Anti Mog ( Myelin Oligodendrocyte Glucoprotein) ( Eia )","2250","1125","1125"
"235","Anti Mog (Myelin Oligodendrocyte Glycoprotein) Ifa","7250","3625","3625"
"236","Anti Mog + Anti Nmo /Aquaporine 4 Antibody ( Eia )","3750","1875","1875"
"237","Anti Mullerian Hormone ( Amh ) By Eclia","1500","750","750"
"238","Anti -Nmo/Aquaporin -4 + Anti Mog Ifa","9000","4500","4500"
"239","Anti Nuclear Anti Body - (Ana) Ifa","1250","625","625"
"240","Anti Nuclear Antibody (Ana) ( Clia )","800","400","400"
"241","Anti Phospholipid - Igg Igm","2000","1000","1000"
"242","Anti Phospholipid Ab - Igg","1000","500","500"
"243","Anti Phospholipid Ab - Igm","1000","500","500"
"244","Anti Smith Antibody","2900","1450","1450"
"245","Anti Smooth Muscle Antibody (Asma), Serum","3750","1875","1875"
"246","Anti Soluble Liver Antigen Sla","2500","1250","1250"
"247","Anti Sperm Antibody (Asab), Serum","1250","625","625"
"248","Anti Thrombin Iii, Serum","2700","1350","1350"
"249","Anti Thyroglobulin - Serum","1100","550","550"
"250","Anti Topisomerase A B","2000","1000","1000"
"251","Apla Syndrome Profile","4750","2375","2375"
"252","Aplar2 Antibody (Anti Pla2R)","6000","3000","3000"
"253","Apolipoproteins A1 (Apo-A1)","650","325","325"
"254","Apolipoproteins B (Apo-B)","650","325","325"
"255","Apple- Veg (EIA)","500","250","250"
"256","Arsenic","3500","1750","1750"
"257","Asca Iga-Anti Saceharomyces Cerevisiae Antibody","4000","2000","2000"
"258","Asca Igg-Anti Saceharomyces Cerevisiae Antibody","4000","2000","2000"
"259","Aso Titre Quantification","700","350","350"
"260","Asparagus (EIA)","500","250","250"
"261","Aspergilles Specific (Serum) Igg","2400","1200","1200"
"262","Aspergillus Antibody","2500","1250","1250"
"263","Aspergillus Fumigates- Inhalents (EIA)","500","250","250"
"264","Aspergillus Fumigatus For Ige","1100","550","550"
"265","Aspergillus Galactomannan Assay","5500","2750","2750"
"266","Aspergillus Igm Antibody","2650","1325","1325"
"267","Aspergillus Specific Ige","2000","1000","1000"
